"id_student","code_module","code_presentation","gender","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","module_presentation_length","date_registration","Exam_score","TMA_score","CMA_score","click_before_course","click_Q1","click_Q2","click_Q3","click_Q4","homepage","quiz","page","oucontent ","subpage","resource","oucollaborate","url","glossary","externalquiz","ouwiki","questionnaire","dataplus","final_result"
101116,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","35-55",0,60,"N",269,-80,0,82.6,0,158,638,246,505,222,382,0,0,495,103,47,0,30,2,0,0,0,5,"Pass"
1045203,"Social Science","2014J","M","Lower Than A Level","Low(0-30%)","35-55",0,60,"N",269,-155,0,79.4,0,496,1847,525,377,288,1071,0,0,1236,252,38,4,95,5,0,0,0,2,"Pass"
107489,"Social Science","2014J","F","HE Qualification","Low(0-30%)","0-35",0,60,"N",269,-81,0,82,0,320,1658,436,718,590,883,0,0,1235,256,19,2,128,0,0,0,0,14,"Pass"
108872,"Social Science","2014J","M","HE Qualification","High(60-100%)","55<=",0,60,"N",269,-80,0,61.8,0,139,358,328,209,343,313,0,0,626,73,25,0,7,0,0,0,0,0,"Pass"
109155,"Social Science","2014J","F","HE Qualification","High(60-100%)","0-35",0,60,"N",269,-80,0,67.8,0,194,1169,495,646,515,506,0,0,1254,97,15,0,56,0,0,0,0,7,"Pass"
1112555,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-122,0,66.8,0,115,822,315,515,637,428,0,0,1201,100,35,3,5,0,0,0,0,3,"Pass"
111512,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","0-35",0,60,"N",269,-16,0,0,0,305,134,0,0,0,119,0,0,164,46,29,1,2,1,0,0,0,1,"Fail"
117818,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-92,0,57.6,0,65,613,366,442,209,318,0,0,1066,148,68,0,67,4,0,0,0,2,"Pass"
1183831,"Social Science","2014J","M","HE Qualification","High(60-100%)","55<=",0,60,"N",269,-115,0,71.3333333333333,0,209,1122,710,777,0,272,0,0,1717,284,59,2,129,1,0,0,0,23,"Withdrawn"
119902,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-31,0,67,0,363,1294,290,364,279,558,0,0,1208,179,15,3,94,2,0,0,0,7,"Withdrawn"
121349,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",1,60,"N",269,-28,0,76,0,0,581,625,701,352,261,0,0,1744,114,26,0,60,0,0,0,0,13,"Pass"
124064,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",0,120,"N",269,-44,0,87.2,0,72,492,298,270,910,573,0,0,732,193,32,3,79,0,0,0,0,0,"Distinction"
125018,"Social Science","2014J","M","HE Qualification","High(60-100%)","35-55",0,60,"N",269,-36,0,64.8,0,84,1002,389,490,230,375,0,0,978,87,8,2,33,0,0,0,0,8,"Pass"
1268696,"Social Science","2014J","M","HE Qualification","High(60-100%)","35-55",0,60,"N",269,-79,0,60.2,0,28,123,79,33,63,101,0,0,23,24,4,0,1,2,0,0,0,0,"Pass"
129955,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","0-35",1,60,"N",269,-197,0,81,0,1,263,489,124,0,161,0,0,680,11,1,0,0,0,0,0,0,21,"Withdrawn"
130034,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-82,0,78.4,0,126,715,361,179,450,536,0,0,702,220,44,0,127,0,0,0,0,3,"Pass"
